#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-12-01T08:09:12 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-01T08:09:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c=M67&-c.eq=J2000&-c.r=  3&-c.u=deg&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RAICRS&-out=DEICRS&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=132.847920+11.815000,rd=3.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_r	(F8.6)	Distance from center (132.84792000+11.81500000)[ICRS], at Epoch=J1991.25	[ucd=pos.angDistance]
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_r;_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
1.728819;131.6020473042;+10.5920324725; 43074;08 46 24.51;+10 35 31.6; 7.34;131.60211785;+10.59211516;   9.87;  -28.53;  -34.02;  1.01; 0.515; ;131.60204730;+10.59203247
1.736544;134.6217570232;+11.8577009591; 44066;08 58 29.20;+11 51 28.0; 4.26;134.62165408;+11.85777198;  18.79;   41.45;  -29.22;  0.99; 0.141; ;134.62175702;+11.85770096
1.754349;134.2758415635;+10.7581822468; 43951;08 57 06.22;+10 45 29.7; 8.48;134.27592004;+10.75824391;   4.35;  -31.72;  -25.37;  2.40; 0.341; ;134.27584156;+10.75818225
1.873794;134.4635483756;+10.8143102050; 44018;08 57 51.25;+10 48 51.5; 8.02;134.46355377;+10.81430758;   4.98;   -2.18;    1.08;  1.16; 0.054; ;134.46354838;+10.81431020
1.930971;133.6921433589;+13.5614475229; 43755;08 54 46.14;+13 33 41.3; 8.95;133.69224787;+13.56148595;   4.88;  -41.80;  -15.81;  1.17; 0.486; ;133.69214336;+13.56144752
1.944352;134.5666621122;+10.8451864043; 44050;08 58 16.01;+10 50 43.0; 7.66;134.56670693;+10.84526513;   2.94;  -18.11;  -32.39;  1.11; 1.242; ;134.56666211;+10.84518640
1.956187;130.9326933068;+11.2623053458; 42839;08 43 43.85;+11 15 44.3; 8.44;130.93271804;+11.26230170;   4.90;   -9.98;    1.50;  1.00; 0.134; ;130.93269331;+11.26230535
1.959018;131.4969188235;+13.2635056869; 43018;08 45 59.29;+13 15 49.6; 8.70;131.49702328;+13.26377893;   0.34;  -41.83; -112.42;  1.46; 0.042; ;131.49691882;+13.26350569
2.021682;134.9103247183;+11.9318133796; 44160;08 59 38.49;+11 55 54.6; 8.68;134.91035438;+11.93184189;   2.11;  -11.94;  -11.73;  1.14; 0.373; ;134.91032472;+11.93181338
2.096642;133.4405788606;+13.8304028722; 43666;08 53 45.76;+13 49 49.5; 7.06;133.44065846;+13.83041940;   7.97;  -31.80;   -6.80;  0.93; 0.189; ;133.44057886;+13.83040287
2.175577;132.4417429543;+13.9542160547; 43343;08 49 46.02;+13 57 15.3; 9.32;132.44175177;+13.95424877;   6.08;   -3.52;  -13.46;  1.64; 0.304; ;132.44174295;+13.95421605
2.177551;134.7380212434;+12.9699173419; 44102;08 58 57.13;+12 58 11.7; 8.85;134.73804414;+12.96992196;   4.03;   -9.18;   -1.90;  1.30; 0.993; ;134.73802124;+12.96991734
2.179310;130.8013719366;+12.6808759042; 42795;08 43 12.34;+12 40 51.1; 5.62;130.80139680;+12.68087080;   3.17;   -9.98;    2.10;  0.91; 0.435; ;130.80137194;+12.68087590
2.278767;131.5121229519;+09.9515817924; 43027;08 46 02.91;+09 57 05.8; 7.71;131.51212004;+09.95161565;   3.61;    1.18;  -13.93;  0.90; 1.345; ;131.51212295;+09.95158179
2.335434;134.8620083600;+13.0743906975; 44148;08 59 26.89;+13 04 27.9; 6.49;134.86205290;+13.07440776;   2.52;  -17.85;   -7.02;  0.84; 1.462; ;134.86200836;+13.07439070
2.379287;131.1876524695;+10.0816702926; 42917;08 44 45.04;+10 04 54.2; 5.63;131.18768592;+10.08171256;   8.00;  -13.55;  -17.39;  0.84;-0.069;P;131.18765247;+10.08167029
2.399052;130.4237265374;+12.1793832364; 42661;08 41 41.70;+12 10 45.7;10.16;130.42373897;+12.17937191;   7.84;   -5.00;    4.66;  6.44; 0.497; ;130.42372654;+12.17938324
2.400275;130.4219030740;+12.1757118553; 42660;08 41 41.26;+12 10 32.5; 9.62;130.42191578;+12.17569489;   6.18;   -5.11;    6.98;  4.35; 0.942; ;130.42190307;+12.17571186
2.430555;135.2104722229;+12.5733235603; 44264;09 00 50.51;+12 34 24.1; 7.93;135.21047297;+12.57335122;   3.95;   -0.30;  -11.38;  0.97; 0.080; ;135.21047222;+12.57332356
2.525214;131.8888109254;+14.1609256007; 43164;08 47 33.33;+14 09 39.5; 9.08;131.88887412;+14.16096150;   5.01;  -25.21;  -14.77;  1.39; 0.390; ;131.88881093;+14.16092560
2.541992;133.6142568904;+14.2449668132; 43735;08 54 27.43;+14 14 41.6; 7.84;133.61427640;+14.24489115;   6.31;   -7.78;   31.13;  1.03; 1.203; ;133.61425689;+14.24496681
2.574059;130.9705092743;+13.6239609386; 42848;08 43 52.93;+13 37 26.3; 8.46;130.97052478;+13.62396964;   5.80;   -6.20;   -3.58;  2.29; 0.772; ;130.97050927;+13.62396094
2.579605;131.5478990072;+14.0620842696; 43043;08 46 11.52;+14 03 43.6; 7.99;131.54801126;+14.06212153;   8.77;  -44.80;  -15.33;  1.26; 0.288; ;131.54789901;+14.06208427
2.583825;133.9135838548;+14.1809718103; 43833;08 55 39.25;+14 10 51.8; 7.79;133.91353705;+14.18105897;   3.72;   18.67;  -35.86;  1.09; 0.873; ;133.91358385;+14.18097181
2.593258;130.3202083059;+11.0487491450; 42631;08 41 16.87;+11 02 55.6; 7.55;130.32027309;+11.04876402;   5.85;  -26.16;   -6.12;  0.94; 0.107; ;130.32020831;+11.04874914
2.600866;134.6880438449;+09.9443389049; 44077;08 58 45.14;+09 56 39.7; 8.89;134.68807395;+09.94435745;   3.64;  -12.20;   -7.63;  1.40; 1.242; ;134.68804384;+09.94433890
2.627806;131.0232820180;+13.7487432757; 42865;08 44 05.59;+13 44 55.6; 8.47;131.02330091;+13.74876430;   0.72;   -7.55;   -8.65;  1.87; 0.967; ;131.02328202;+13.74874328
2.643526;131.7923256727;+09.3835183412; 43134;08 47 10.17;+09 23 00.8; 8.52;131.79235861;+09.38356056;   5.00;  -13.37;  -17.37;  1.07; 0.123; ;131.79232567;+09.38351834
2.646926;130.5437309548;+10.4384025683; 42704;08 42 10.49;+10 26 18.4; 8.65;130.54371405;+10.43845361;   3.38;    6.84;  -21.00;  1.23; 1.132; ;130.54373095;+10.43840257
2.655876;133.4323728828;+14.4091542601; 43663;08 53 43.78;+14 24 33.0; 8.08;133.43239592;+14.40916809;   3.66;   -9.18;   -5.69;  1.00; 0.007; ;133.43237288;+14.40915426
2.659711;133.2567005224;+09.1851196159; 43618;08 53 01.54;+09 11 08.8; 8.61;133.25640652;+09.18578430;  16.49;  119.41; -273.47;  1.36; 0.690; ;133.25670052;+09.18511962
2.677207;135.3449036588;+10.7329203919; 44303;09 01 22.78;+10 43 58.5; 8.87;135.34493191;+10.73291276;  15.58;  -11.42;    3.14;  1.15; 0.673; ;135.34490366;+10.73292039
2.762791;133.1419493219;+09.0673482560; 43582;08 52 34.07;+09 04 02.6; 8.50;133.14196185;+09.06738119;   1.35;   -5.09;  -13.55;  1.31; 1.554; ;133.14194932;+09.06734826
2.804273;130.1356213188;+10.9241387668; 42560;08 40 32.55;+10 55 27.0; 6.78;130.13564335;+10.92415318;   3.74;   -8.90;   -5.93;  0.95; 1.382; ;130.13562132;+10.92413877
2.830693;130.3193196791;+13.2003937712; 42630;08 41 16.64;+13 12 01.5; 8.51;130.31933698;+13.20040974;   2.12;   -6.93;   -6.57;  1.28; 0.973; ;130.31931968;+13.20039377
2.841302;129.9616323019;+11.5226724795; 42499;08 39 50.86;+11 31 26.0; 7.61;129.96190355;+11.52388749;  53.98; -109.35; -499.89;  1.04; 0.832; ;129.96163230;+11.52267248
2.879996;134.4250991039;+09.3877636143; 44010;08 57 42.03;+09 23 16.0; 6.19;134.42512167;+09.38777759;   3.41;   -9.16;   -5.75;  0.96; 0.984; ;134.42509910;+09.38776361
2.951020;134.6536480592;+09.4572020083; 44071;08 58 36.89;+09 27 25.9; 8.89;134.65370180;+09.45719180;   7.86;  -21.81;    4.20;  1.39; 0.497; ;134.65364806;+09.45720201
2.956528;135.0535445504;+13.8440534221; 44200;09 00 12.82;+13 50 38.7; 9.11;135.05342572;+13.84409637;   8.98;   47.47;  -17.67;  2.61; 0.739; ;135.05354455;+13.84405342
2.987325;132.3713120062;+08.8646861232; 43317;08 49 29.13;+08 51 52.8; 7.70;132.37137594;+08.86468046;   6.33;  -25.99;    2.33;  1.28; 0.321; ;132.37131201;+08.86468612

